"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"88","C18_QI13014",7596,0.0203297285998436,0.00791894157762096,0.0102833620715917,"lmer",0.139127839792122
"89","C18_QI13135",7594,-0.00195888872628038,0.0080197608267026,0.807042381887591,"lmer",0.925772908329338
"90","C18_QI13137",7596,0.00833343451090258,0.00762676108965193,0.274603073011183,"lmer",0.597235125823481
"91","C18_QI13138",7596,0.00780918371706101,0.00759433337512606,0.30386859620061,"lmer",0.620541778358251
"92","C18_QI13141",7596,0.00924236928492867,0.00759385399256065,0.223635802246232,"lmer",0.55842262201007
"93","C18_QI13144",7595,0.00698748193465796,0.0077783742732533,0.369062349562803,"lmer",0.679074723195557
"94","C18_QI13468",7588,-0.000647901706807404,0.00772399727086977,0.933154273526576,"lmer",0.962446111709025
"95","C18_QI13541",7595,0.0132539115345421,0.00770013977404448,0.085273060693581,"lmer",0.332420406093621
"96","C18_QI13534",7596,0.0186796362916786,0.0078421564548499,0.0172623176895444,"lmer",0.180469684936146
"97","C18_QI13537",7594,0.0137402481142976,0.0078970435684421,0.0819409893305195,"lmer",0.332420406093621
"98","C18_QI13538",7596,0.0188589714485575,0.00782931524168053,0.0160464111012966,"lmer",0.179468213013704
"99","C18_QI13627",7590,0.00966071785468082,0.00783295466680747,0.217513061139639,"lmer",0.55842262201007
"100","C18_QI13636",7595,0.0101954175406603,0.0079401149521544,0.19919477382001,"lmer",0.526606873317268
"101","C18_QI13637",7596,0.00910917809968345,0.00765414969806754,0.234071328791232,"lmer",0.566699006547194
"102","C18_QI13639",7596,0.00929203625404775,0.00767034633425714,0.22579697324755,"lmer",0.55842262201007
"103","C18_QI13640",7596,-0.00744417463584275,0.00814373539242676,0.360713585661959,"lmer",0.678080208628979
"104","C18_QI13642",7596,0.00896236014612668,0.00813567524923908,0.270688984182735,"lmer",0.597235125823481
"105","C18_QI14104",7592,0.0130394993797606,0.00852864340236937,0.126357835347761,"lmer",0.415175744714073
"106","C18_QI15160",7596,0.00836945045529461,0.00682936510786112,0.220448371730459,"lmer",0.55842262201007
"107","C18_QI15652",7596,0.0160157301797555,0.00923164458776556,0.0828316249494391,"lmer",0.332420406093621
"108","C18_QI16352",7596,0.0180515591431613,0.00836798364654249,0.0310408293331838,"lmer",0.237979691554409
"109","C18_QI16867",7591,0.0119186901630138,0.00849291404024303,0.160575636124131,"lmer",0.47356375487663
"110","C18_QI17491",7595,0.0115277060634132,0.00867859446861319,0.184148641231606,"lmer",0.510291415461078
"111","C18_QI18689",7596,-0.0015864010628953,0.0067083566964396,0.813070119489245,"lmer",0.925772908329338
"112","C18_QI18681",7595,0.0140995362617414,0.00873506853124191,0.106568697047664,"lmer",0.388093154845261
"113","C18_QI18792",7596,0.0232669886196011,0.00844405554719442,0.00588484680763911,"lmer",0.123046796887
"114","C18_QI19318",7596,0.0180685584737566,0.00859625701452528,0.0356161618383845,"lmer",0.260008260236261
"115","C18_QI19592",7590,-0.000911987256797101,0.00575695379305746,0.874137300814563,"lmer",0.951346777107266
"116","C18_QI19734",7595,-0.0032737905305887,0.00708481300338352,0.644042593412665,"lmer",0.844430046975726
"117","C18_QI19857",7590,-0.00314507064327797,0.0069550632806095,0.651147979642535,"lmer",0.844430046975726
"118","C18_QI19930",7596,0.0245506729251873,0.00843057433157727,0.00360752710137347,"lmer",0.120654289669331
"119","C18_QI20106",7594,0.0259985041536057,0.00894481104365715,0.0036720870768927,"lmer",0.120654289669331
"120","C18_QI20356",7596,-0.000661396899271078,0.00631000615614437,0.916525724127348,"lmer",0.960538424478515
"121","C18_QI21039",7596,0.0270440630504463,0.00801284439875839,0.000744080736692712,"lmer",0.0570461898131079
"122","C18_QI21046",7596,0.0202427407142958,0.00765297724475949,0.0081953630127263,"lmer",0.125662232861803
"123","C18_QI21963",7589,0.0163348199446179,0.00842009564814201,0.0524444161873058,"lmer",0.309287582643085
"124","HILIC_CAR.13.0",7629,0.00724845342284982,0.00800867850708095,0.365473518567331,"lmer",0.678080208628979
"125","HILIC_CAR.16.4",7626,0.00491448463766825,0.00855256980084575,0.565576002803284,"lmer",0.778937009848834
"126","HILIC_PC.P.36.5.or.PC.O.36.6",7629,0.0162593130770699,0.00942053907059413,0.0844257474733534,"lmer",0.332420406093621
