"","Estimate","StdErr","z.value","p.value"
"C8_CE.18.3",0,NA,NA,NA
"C8_CE.18.2",0,NA,NA,NA
"C8_CE.18.1",0,NA,NA,NA
"C8_CE.18.0",0,NA,NA,NA
"C8_CE.19.1",0,NA,NA,NA
"C8_CE.20.4",0,NA,NA,NA
"C8_CE.20.3",0,NA,NA,NA
"C8_CE.20.1",0,NA,NA,NA
"C8_CE.22.6",0,NA,NA,NA
"C8_MG.14.0",0,NA,NA,NA
"C8_MG.15.0",0,NA,NA,NA
"C8_MG.16.0",0,NA,NA,NA
"C8_MG.17.0",0,NA,NA,NA
"C8_MG.18.2",0,NA,NA,NA
"C8_MG.18.1",0,NA,NA,NA
"C8_DG.32.0",0,NA,NA,NA
"C8_DG.34.2",0,NA,NA,NA
"C8_DG.34.1",0,NA,NA,NA
"C8_DG.34.0",0,NA,NA,NA
"C8_DG.36.4_A",0,NA,NA,NA
"C8_DG.36.3",0,NA,NA,NA
"C8_DG.36.2",0,NA,NA,NA
"C8_DG.36.1",0,NA,NA,NA
"C8_DG.38.5",0,NA,NA,NA
"C8_DG.38.4_B",0,NA,NA,NA
"C8_DG.38.3",0,NA,NA,NA
"C8_DG.40.5",0,NA,NA,NA
"C8_TG.40.0",0,NA,NA,NA
"C8_TG.42.1",0,NA,NA,NA
"C8_TG.42.0",0,NA,NA,NA
"C8_TG.44.3",0,NA,NA,NA
"C8_TG.44.2",0,NA,NA,NA
"C8_TG.44.1",0,NA,NA,NA
"C8_TG.44.0",0,NA,NA,NA
"C8_TG.45.1",0,NA,NA,NA
"C8_TG.46.4",0,NA,NA,NA
"C8_TG.46.3",0,NA,NA,NA
"C8_TG.46.2",0,NA,NA,NA
"C8_TG.46.1",0,NA,NA,NA
"C8_TG.47.2",0,NA,NA,NA
"C8_TG.48.5",0,NA,NA,NA
"C8_TG.48.4",0,NA,NA,NA
"C8_TG.48.3",0,NA,NA,NA
"C8_TG.48.2",0,NA,NA,NA
"C8_TG.48.1",0,NA,NA,NA
"C8_TG.48.0",0,NA,NA,NA
"C8_TG.49.4",0,NA,NA,NA
"C8_TG.49.3",0,NA,NA,NA
"C8_TG.49.2",0,NA,NA,NA
"C8_TG.49.1",0,NA,NA,NA
"C8_TG.50.7",0,NA,NA,NA
"C8_TG.50.6",0,NA,NA,NA
"C8_TG.50.5",0,NA,NA,NA
"C8_TG.50.4",0,NA,NA,NA
"C8_TG.50.3",0,NA,NA,NA
"C8_TG.50.2",0,NA,NA,NA
"C8_TG.50.1",0,NA,NA,NA
"C8_TG.50.0",0,NA,NA,NA
"C8_TG.51.5",0,NA,NA,NA
"C8_TG.51.4",0,NA,NA,NA
"C8_TG.51.3",0,NA,NA,NA
"C8_TG.51.2",0,NA,NA,NA
"C8_TG.51.1",0,NA,NA,NA
"C8_TG.52.8",0,NA,NA,NA
"C8_TG.52.7",0,NA,NA,NA
"C8_TG.52.6",0,NA,NA,NA
"C8_TG.52.5",0,NA,NA,NA
"C8_TG.52.4",0,NA,NA,NA
"C8_TG.52.3",0,NA,NA,NA
"C8_TG.52.2",0,NA,NA,NA
"C8_TG.52.1",0,NA,NA,NA
"C8_TG.52.0",0,NA,NA,NA
"C8_TG.53.5",0,NA,NA,NA
"C8_TG.53.3",0,NA,NA,NA
"C8_TG.53.2",0,NA,NA,NA
"C8_TG.53.1",0,NA,NA,NA
"C8_TG.54.9",0,NA,NA,NA
"C8_TG.54.8",0,NA,NA,NA
"C8_TG.54.7",0,NA,NA,NA
"C8_TG.54.6",0,NA,NA,NA
"C8_TG.54.5",0,NA,NA,NA
"C8_TG.54.4",0,NA,NA,NA
"C8_TG.54.3",-0.000650886708653281,NA,NA,NA
"C8_TG.54.2",0,NA,NA,NA
"C8_TG.54.1",0,NA,NA,NA
"C8_TG.55.6",0,NA,NA,NA
"C8_TG.55.5",0,NA,NA,NA
"C8_TG.56.10",0,NA,NA,NA
"C8_TG.56.9",0,NA,NA,NA
"C8_TG.56.8",0,NA,NA,NA
"C8_TG.56.7",0,NA,NA,NA
"C8_TG.56.6",0,NA,NA,NA
"C8_TG.56.5_B",0,NA,NA,NA
"C8_TG.56.4",0,NA,NA,NA
"C8_TG.56.3",0,NA,NA,NA
"C8_TG.56.2",0,NA,NA,NA
"C8_TG.58.11",0,NA,NA,NA
"C8_TG.58.10",0,NA,NA,NA
"C8_TG.58.9",0,NA,NA,NA
"C8_TG.58.7_A",0,NA,NA,NA
"C8_TG.58.5",0,NA,NA,NA
"C8_TG.58.3",0,NA,NA,NA
"C8_TG.60.12",0,NA,NA,NA
"C8_QI5007",0,NA,NA,NA
"C8_QI7297",0,NA,NA,NA
"C8_QI7302",0,NA,NA,NA
"C8_QI5246",0,NA,NA,NA
"C8_QI7256",0,NA,NA,NA
"C8_QI4985",0,NA,NA,NA
"C8_QI5360",0,NA,NA,NA
"C8_QI6765",0,NA,NA,NA
"C8_QI7057",0,NA,NA,NA
"C8_QI5139",0,NA,NA,NA
"C8_QI6813",0,NA,NA,NA
"C8_QI6793",0,NA,NA,NA
"C8_QI5120",0,NA,NA,NA
"C8_QI12215",0,NA,NA,NA
"C8_QI32",0,NA,NA,NA
"C8_QI12197",0,NA,NA,NA
"C8_QI79",0,NA,NA,NA
"C8_QI163",0,NA,NA,NA
"C8_QI12040",-0.000779390308864452,NA,NA,NA
"C8_QI12049",0,NA,NA,NA
"C8_QI243",0,NA,NA,NA
"C8_QI11999",0,NA,NA,NA
"C8_QI250",0,NA,NA,NA
"C8_QI265",0,NA,NA,NA
"C8_QI11962",-0.00041021918849865,NA,NA,NA
"C8_QI11946",-0.000608931640324762,NA,NA,NA
"C8_QI295",-0.000665606668256966,NA,NA,NA
"C8_QI11950",-0.000589002249342568,NA,NA,NA
"C8_QI11966",0,NA,NA,NA
"C8_QI303",-3.72761675115134e-05,NA,NA,NA
"C8_QI300",-0.000947522459172763,NA,NA,NA
"C8_QI11918",-0.000870251662271199,NA,NA,NA
"C8_QI320",-0.00132819370156997,NA,NA,NA
"C8_QI357",-0.000940906789180762,NA,NA,NA
"C8_QI363",0,NA,NA,NA
"C8_QI11802",-0.000663311659967352,NA,NA,NA
"C8_QI11801",-0.00050236922640293,NA,NA,NA
"C8_QI11796",0,NA,NA,NA
"C8_QI11767",0,NA,NA,NA
"C8_QI474",0,NA,NA,NA
"C8_QI11754",0,NA,NA,NA
"C8_QI11760",0,NA,NA,NA
