"","Metab","Nobs","Beta","SE","P","Model","P_fdr"
"169","C8_QI11640",7634,-0.0218409535759659,0.01458859943237,0.13440620953371,"lmer",0.237795601482719
"170","C8_QI620",7634,-0.00271616877890839,0.0152967620630545,0.859069566747507,"lmer",0.890854558991062
"171","C8_QI605",7634,-0.0191584345419928,0.0146898044010683,0.192208437287598,"lmer",0.31577100411534
"172","C8_QI11635",7634,-0.0258815065178815,0.0151091192674481,0.0867604286450259,"lmer",0.169109310070813
"173","C8_QI607",7634,-0.0229311379447337,0.0152081033958511,0.131642973241618,"lmer",0.234712277872652
"174","C8_QI608",7633,-0.0348623389964114,0.0147921070756053,0.0184592854966978,"lmer",0.049367856560936
"175","C8_QI611",7634,-0.0159442351661347,0.0150962307474181,0.290924711383069,"lmer",0.430685675641043
"176","C8_QI659",7634,-0.00077191647028148,0.0149302719240003,0.958768044282631,"lmer",0.971438987599141
"177","C8_QI699",7634,-0.0156914074744884,0.0154891835440386,0.31106644598256,"lmer",0.449970330666597
"178","C8_QI791",7634,-0.019096831776866,0.0151183885963594,0.206575197781876,"lmer",0.336966634679655
"179","C8_QI11467",7634,-0.015582192125966,0.0143650531286949,0.2780804984206,"lmer",0.419360882790369
"180","C8_QI11450",7634,-0.0107188428482361,0.0151576963927277,0.479492816624048,"lmer",0.647129038999748
"181","C8_QI11446",7630,-0.0416888569670553,0.0150109358277728,0.00549667192387861,"lmer",0.0175588130901678
"182","C8_QI879",7634,-0.0172312009907805,0.0151091300065087,0.254136918339755,"lmer",0.394942508230701
"183","C8_QI887",7634,0.00971119476029918,0.0152899725653715,0.525360404756518,"lmer",0.686550528943176
